"doc_id","topic"
1,6
2,2
3,6
4,2
5,7
6,3
7,1
8,2
9,3
10,3
11,1
12,2
13,1
14,5
15,4
16,3
17,5
18,7
19,3
20,4
21,1
22,4
23,7
24,4
25,3
26,2
27,3
28,2
29,2
30,5
31,6
32,6
33,6
34,6
35,3
36,3
37,3
38,3
39,7
40,2
41,1
42,1
43,3
44,5
45,4
46,3
47,1
48,5
49,1
50,1
51,2
52,2
53,1
54,4
55,3
56,1
57,2
58,3
59,5
60,1
61,1
62,4
63,2
64,5
65,4
66,2
67,5
68,3
69,2
70,2
71,5
72,5
73,1
74,6
75,3
76,6
77,6
78,6
79,3
80,5
81,7
82,6
83,1
84,1
85,3
86,7
87,3
88,2
89,5
90,4
91,5
92,3
93,2
94,1
95,4
96,2
97,2
98,3
99,3
100,1
101,3
102,2
103,2
104,3
105,2
106,2
107,2
108,2
109,2
110,5
111,6
112,2
113,1
114,4
115,2
116,2
117,3
118,3
119,1
120,5
121,2
122,5
123,7
124,6
125,4
126,1
127,5
128,5
129,7
130,4
131,6
132,3
133,2
134,6
135,1
136,1
137,3
138,2
139,4
140,6
141,3
142,3
143,6
144,3
145,1
146,1
147,1
148,6
149,1
150,1
151,4
152,6
153,6
154,1
155,1
156,1
157,7
158,2
159,6
160,6
161,6
162,6
163,6
164,3
165,5
166,6
167,3
168,2
169,3
170,2
171,1
172,2
173,7
174,2
175,7
176,7
177,1
178,5
179,1
180,6
181,2
182,1
183,1
184,6
185,3
186,4
187,2
188,4
189,1
190,5
191,1
192,4
193,1
194,6
195,2
196,4
197,3
198,1
199,4
200,5
201,4
202,2
203,2
204,7
205,4
206,5
207,6
208,5
209,2
210,2
211,3
212,1
213,3
214,3
215,1
216,2
217,3
218,4
219,7
220,7
221,4
222,3
223,4
224,7
225,7
226,6
227,4
228,1
229,1
230,1
231,3
232,7
233,4
234,7
235,2
236,5
237,6
238,5
239,5
240,7
241,6
242,3
243,1
244,4
245,1
246,1
247,5
248,2
249,3
250,4
251,4
252,3
253,5
254,5
255,3
256,1
257,1
258,3
259,5
260,7
261,4
262,4
263,1
264,7
265,7
266,4
267,1
268,2
269,4
270,7
271,2
272,5
273,7
274,7
275,7
276,5
277,3
278,5
279,5
280,5
281,3
282,4
283,3
284,6
285,4
286,1
287,1
288,6
289,2
290,6
291,2
292,6
293,7
294,3
295,3
296,7
297,6
298,3
299,3
300,2
301,5
302,5
303,7
304,6
305,2
306,7
307,4
308,3
309,2
310,3
311,1
312,6
313,5
314,2
315,2
316,4
317,3
318,4
319,4
320,2
321,4
322,1
323,6
324,6
325,1
326,1
327,1
328,1
329,7
330,3
331,6
332,6
333,6
334,6
335,6
336,7
337,1
338,5
339,6
340,3
341,5
342,1
343,5
344,2
345,5
346,3
347,2
348,1
349,6
350,5
351,1
352,5
353,7
354,1
355,7
356,3
357,7
358,2
359,7
360,2
361,1
362,1
363,6
364,2
365,3
366,7
367,2
368,1
369,3
370,4
371,5
372,5
373,4
374,5
375,3
376,4
377,5
378,6
379,5
380,5
381,4
382,4
383,7
384,5
385,4
386,2
387,4
388,7
389,5
390,6
391,7
392,7
393,5
394,6
395,5
396,7
397,6
398,1
399,5
400,5
401,6
402,2
403,5
404,4
405,7
406,7
407,5
408,5
409,1
410,6
411,5
412,5
413,2
414,3
415,7
416,6
417,5
418,4
419,6
420,4
421,5
422,2
423,4
424,1
425,5
426,6
427,2
428,3
429,1
430,6
431,3
432,6
433,6
434,6
435,6
436,5
437,4
438,6
439,3
440,2
441,3
442,7
443,3
444,3
445,2
446,2
447,6
448,6
449,7
450,2
451,2
452,6
453,5
454,5
455,2
456,3
457,4
458,4
459,2
460,4
461,3
462,6
463,4
464,3
465,2
466,1
467,6
468,2
469,6
470,5
471,3
472,7
473,2
474,3
475,3
476,5
477,6
478,4
479,7
480,3
481,7
482,7
483,3
484,1
485,3
